IATA,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Numero_Aleatorio
SHV,Shreveport Regional,Shreveport,LA,USA,32.4466275,-93.82559833,25
SIT,Sitka,Sitka,AK,USA,57.04713806,-135.3615983,193
SJT,San Angelo Regional  Mathis ,San Angelo,TX,USA,31.35775,-100.4963056,42
SMX,Santa Maria Pub Capt G Allan Hancock ,Santa Maria,CA,USA,34.89924833,-120.4575825,159
SPI,Capital,Springfield,IL,USA,39.84395194,-89.67761861,265
SPN,Tinian International Airport,,,N Mariana Islands,14.996111,145.621384,300
SPS,Sheppard AFB Wichita Falls Municipal,Wichita Falls,TX,USA,33.98879611,-98.49189333,287
SRQ,Sarasota Bradenton International,Sarasota,FL,USA,27.39533333,-82.55411111,259
STC,St Cloud Regional,St Cloud,MN,USA,45.54532417,-94.05833667,235
STT,Cyril E. King,Charlotte Amalie,VI,USA,18.33730556,-64.97336111,181
STX,Henry E. Rohlsen ,Christiansted,VI,USA,17.70188889,-64.79855556,142
SUN,Friedman Memorial,Hailey,ID,USA,43.50484139,-114.2965903,5
SUX,Sioux Gateway ,Sioux City,IA,USA,42.40260333,-96.38436694,15
SWF,Stewart,Newburgh,NY,USA,41.50409361,-74.10483833,56
SYR,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056,260
TEX,Telluride Regional,Telluride,CO,USA,37.95375861,-107.90848,165
TLH,Tallahassee Regional,Tallahassee,FL,USA,30.39652778,-84.35033333,255
TOL,Toledo Express,Toledo,OH,USA,41.58680556,-83.80783333,147
TRI,Tri-Cities Regional,Bristol,TN,USA,36.47521417,-82.40742056,152
TTN,Trenton-Mercer County ,Trenton,NJ,USA,40.27669111,-74.81346833,156
TUP,Tupelo Municipal ,Tupelo,MS,USA,34.26810833,-88.769895,76
TVC,Cherry Capital,Traverse City,MI,USA,44.74144472,-85.582235,37
TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA,42.48180389,-114.4877356,152
TXK,Texarkana Regional-Webb ,Texarkana,AR,USA,33.45370806,-93.99102,312
TYR,Tyler Pounds ,Tyler,TX,USA,32.35413889,-95.40238611,256
TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583,270
VEL,Vernal,Vernal,UT,USA,40.44090167,-109.5099203,250
VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672222,280
VPS,Eglin Air Force Base,Valparaiso,FL,USA,30.48325,-86.5254,104
WRG,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242,289
WYS,Yellowstone,West Yellowstone,MT,USA,44.68839917,-111.1176375,12
XNA,Northwest Arkansas Regional,Fayetteville Springdale Rogers,AR,USA,36.28186944,-94.30681111,121
YAK,Yakutat,Yakutat,AK,USA,59.50336056,-139.6602261,254
YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.6059722,326
